Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
St. John The Baptist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54476,185 East Main Street,Uniontown,PA 15401 US,Diocese of Pittsburgh,http://www.stjohnbaptist-byzcath-uniontown.org/parish.html,,,,,,,,,N,N
St. John The Evangelist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54472,50 Jefferson St,Uniontown,PA 15401 US,Diocese of Greensburg,https://www.parishesonline.com/find/st-john-the-evangelist-roman-catholic-church-15401,,,,,,,,,N,N
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54471,180 Old Walnut Hill Rd.,Uniontown,PA 15401 US,Diocese of Greensburg,http://www.stjosephuniontown.org/,,,,,,,,,N,1
St. Mary Nativity Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54473,61 N. Mount Vernon Avenue,Uniontown,PA 15401 US,Diocese of Greensburg,http://www.stmaryuniontown.org,,,,,,,,,N,1
St. Therese The Little Flower of Jesus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54474,61 Mill St,Uniontown,PA 15401 US,Diocese of Greensburg,,,,,,,,,,N,N
Queen of Archangels,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54861,204 South 4th. St.,Snow Shoe,PA 16874 US,Diocese of Altoona - Johnstown,https://discovermass.com/church/queen-of-archangels-snow-shoe-pa/,,,,,,,,,N,N
St. Vladimir Ukrainian Greek Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55319,70 Zerby Ave,Edwardsville,PA 18704 US,Archeparchy of Philadelphia,https://discovermass.com/church/st-vladimir-ukrainian-greek-catholic-edwardsville-pa/,,,,,,,,,N,N
Our Lady of Good Counsel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54999,220 W Biddle St,Gordon,PA 17936 US,Diocese of Allentown,https://www.parishesonline.com/find/our-lady-of-good-counsel-church-17936,,,,,,,,,N,N
St. Francis of Assisi Parish Footedale Site,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214620,528 Footedale Road,New Salem,PA 15468 US,Diocese of Greensburg,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214620,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54498,,New Salem,PA 15468 US,Diocese of Pittsburgh,https://www.smvchurch.org/,,,,,,,,,N,N
Holy Ghost Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54267,828 Meadow Ave,Charleroi,PA 15022 US,Diocese of Pittsburgh,http://www.holyghostcharleroi.org/,,,,,,,,,N,N
